"","ID","ALIGN","CORRECT","TARGET","ROUND","freq1","freq2","rating","align_code","condition"
"1",124,"boat","CORRECT","rowboat","1",3,23,57,0,"C1"
"2",124,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"3",124,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"4",124,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"5",124,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"6",124,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
"7",124,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"8",124,"cock","CORRECT","hen","1",5,43,62,0,"C1"
"9",124,"peach","CORRECT","nectarine","1",5,15,61,0,"C1"
"10",124,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"11",124,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"12",124,"ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"13",124,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"14",124,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"15",124,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"16",124,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"17",124,"instrument ","CORRECT","musical instrument","2",0,18,55,0,"C1"
"18",124,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"19",124,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"20",124,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
"21",124,"frog","CORRECT","toad","2",8,60,67,0,"C1"
"22",124,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"23",124,"lip stick","CORRECT","make up","2",0,33,56,0,"C1"
"24",124,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"25",124,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"26",124,"usb","CORRECT","memory stick","2",11,29,68,0,"C1"
"27",124,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"28",124,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"29",125,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"30",125,"cigerette","CORRECT","fag","1",10,53,60,0,"C1"
"31",125,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"32",125,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"33",125,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"34",125,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
"35",125,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"36",125,"chicken","CORRECT","hen","1",5,43,62,0,"C1"
"37",125,"peach","CORRECT","nectarine","1",5,15,61,0,"C1"
"38",125,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"39",125,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"40",125,"ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"41",125,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"42",125,"gun","CORRECT","pistol","1",0,48,64,0,"C1"
"43",125,"tiolet","CORRECT","loo","2",5,63,64,0,"C1"
"44",125,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"45",125,"musical instrument","INCORRECT","musical instrument","2",0,18,55,NA,"C1"
"46",125,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"47",125,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"48",125,"plane","CORRECT","aeroplane","2",20,45,68,0,"C1"
"49",125,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"50",125,"phone","CORRECT","mobile","2",13,48,64,0,"C1"
"51",125,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"52",125,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"53",125,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"54",125,"memory stick","CORRECT","memory stick","2",11,29,68,1,"C1"
"55",125,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"56",125,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"57",127,"boat","CORRECT","rowboat","1",3,23,57,0,"C1"
"58",127,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"59",127,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"60",127,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"61",127,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"62",127,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"63",127,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"64",127,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"65",127,"fruit","CORRECT","nectarine","1",5,15,61,0,"C1"
"66",127,"bus","CORRECT","coach","1",0,30,60,0,"C1"
