Target,DisfLetters,FavouredName,FavLetters,DiffLetters
pillow,5,cushion,7,-2
musical instrument,18,accordeon,9,9
picture,7,painting,8,-1
make-up,7,lipstick,8,-1
silverware,10,cutlery,7,3
flower,6,rose,4,2
rodent,6,mouse,5,1
loo,3,toilet,5,-2
mobile,6,phone,5,1
refrigerator,12,fridge,6,6
toad,4,frog,4,0
aeroplane,7,plane,5,2
memory stick,12,usb,3,9
bicycle,7,bike,4,3
biro,4,pen,3,1
computer,8,laptop,6,2
rowboat,7,boat,4,3
fag,3,cigarrette,10,-7
spectacles,10,glasses,7,3
coach,5,sofa,4,1
nectarine,9,peach,5,4
hat,3,cup,3,0
hen,3,chicken,7,-4
brolly,6,umbrella,8,-2
bunny,5,rabbit,6,-1
pistol,6,gun,3,3
Inflatable ball,15,ball,4,11
bathtub,7,tub,3,4
